datetime,patch,cas_temp_K,gpp_umol_m2_s,le_W_m2,soil_temp_top_K,leaf_temp_K
2024-01-01 00:15:00,1, 2.734368E+02, 0.000000E+00, 2.267514E+00, 2.871453E+02, 0.000000E+00
2024-01-01 00:45:00,1, 2.737827E+02, 0.000000E+00, 4.399247E-01, 2.865242E+02, 0.000000E+00
2024-01-01 01:15:00,1, 2.738512E+02, 0.000000E+00, 9.231865E-01, 2.860427E+02, 0.000000E+00
2024-01-01 01:45:00,1, 2.737373E+02, 0.000000E+00, 9.532749E-01, 2.856287E+02, 0.000000E+00
2024-01-01 02:15:00,1, 2.736910E+02, 0.000000E+00, 7.928614E-01, 2.852845E+02, 0.000000E+00
2024-01-01 02:45:00,1, 2.736810E+02, 0.000000E+00, 7.273713E-01, 2.850400E+02, 0.000000E+00
2024-01-01 03:15:00,1, 2.736411E+02, 0.000000E+00, 7.647970E-01, 2.848164E+02, 0.000000E+00
2024-01-01 03:45:00,1, 2.735792E+02, 0.000000E+00, 8.020505E-01, 2.846009E+02, 0.000000E+00
2024-01-01 04:15:00,1, 2.735409E+02, 0.000000E+00, 8.481221E-01, 2.844011E+02, 0.000000E+00
2024-01-01 04:45:00,1, 2.735224E+02, 0.000000E+00, 9.258673E-01, 2.842270E+02, 0.000000E+00
2024-01-01 05:15:00,1, 2.734916E+02, 0.000000E+00, 1.007843E+00, 2.840759E+02, 0.000000E+00
2024-01-01 05:45:00,1, 2.734547E+02, 0.000000E+00, 1.066116E+00, 2.839084E+02, 0.000000E+00
2024-01-01 06:15:00,1, 2.733408E+02, 0.000000E+00, 1.414260E+00, 2.837041E+02, 0.000000E+00
2024-01-01 06:45:00,1, 2.731642E+02, 0.000000E+00, 1.810869E+00, 2.834162E+02, 0.000000E+00
2024-01-01 07:15:00,1, 2.730194E+02, 0.000000E+00, 1.798885E+00, 2.831219E+02, 0.000000E+00
2024-01-01 07:45:00,1, 2.729009E+02, 0.000000E+00, 1.703018E+00, 2.828527E+02, 0.000000E+00
2024-01-01 08:15:00,1, 2.727426E+02, 0.000000E+00, 1.730729E+00, 2.825591E+02, 0.000000E+00
2024-01-01 08:45:00,1, 2.725468E+02, 0.000000E+00, 1.739445E+00, 2.822079E+02, 0.000000E+00
2024-01-01 09:15:00,1, 2.724250E+02, 0.000000E+00, 1.806783E+00, 2.819338E+02, 0.000000E+00
2024-01-01 09:45:00,1, 2.723776E+02, 0.000000E+00, 1.962321E+00, 2.818180E+02, 0.000000E+00
2024-01-01 10:15:00,1, 2.723232E+02, 0.000000E+00, 2.037381E+00, 2.817622E+02, 0.000000E+00
2024-01-01 10:45:00,1, 2.722651E+02, 0.000000E+00, 1.983626E+00, 2.817139E+02, 0.000000E+00
2024-01-01 11:15:00,1, 2.721869E+02, 0.000000E+00, 1.933331E+00, 2.816386E+02, 0.000000E+00
2024-01-01 11:45:00,1, 2.720889E+02, 0.000000E+00, 1.857041E+00, 2.815118E+02, 0.000000E+00
2024-01-01 12:15:00,1, 2.720021E+02, 0.000000E+00, 1.778420E+00, 2.813826E+02, 0.000000E+00
2024-01-01 12:45:00,1, 2.719255E+02, 0.000000E+00, 1.730903E+00, 2.812781E+02, 0.000000E+00
2024-01-01 13:15:00,1, 2.719411E+02, 0.000000E+00, 1.563323E+00, 2.814756E+02, 0.000000E+00
2024-01-01 13:45:00,1, 2.720337E+02, 0.000000E+00, 1.286425E+00, 2.818052E+02, 0.000000E+00
2024-01-01 14:15:00,1, 2.721720E+02, 0.000000E+00, 1.254778E+00, 2.823307E+02, 0.000000E+00
2024-01-01 14:45:00,1, 2.723596E+02, 0.000000E+00, 1.141922E+00, 2.829099E+02, 0.000000E+00
2024-01-01 15:15:00,1, 2.726099E+02, 0.000000E+00, 9.821944E-01, 2.844088E+02, 0.000000E+00
2024-01-01 15:45:00,1, 2.729373E+02, 0.000000E+00, 8.450188E-01, 2.855206E+02, 0.000000E+00
2024-01-01 16:15:00,1, 2.733033E+02, 0.000000E+00, 8.453990E-01, 2.871174E+02, 0.000000E+00
2024-01-01 16:45:00,1, 2.737004E+02, 0.000000E+00, 9.304479E-01, 2.883503E+02, 0.000000E+00
2024-01-01 17:15:00,1, 2.740317E+02, 0.000000E+00, 1.371149E+00, 2.887633E+02, 0.000000E+00
2024-01-01 17:45:00,1, 2.740732E+02, 0.000000E+00, 2.750923E+00, 2.891929E+02, 0.000000E+00
2024-01-01 18:15:00,1, 2.738038E+02, 0.000000E+00, 2.512874E+00, 2.888081E+02, 0.000000E+00
2024-01-01 18:45:00,1, 2.733317E+02, 0.000000E+00, 2.435121E+00, 2.885978E+02, 0.000000E+00
2024-01-01 19:15:00,1, 2.729971E+02, 0.000000E+00, 2.214744E+00, 2.883515E+02, 0.000000E+00
2024-01-01 19:45:00,1, 2.727903E+02, 0.000000E+00, 2.054311E+00, 2.879204E+02, 0.000000E+00
2024-01-01 20:15:00,1, 2.725274E+02, 0.000000E+00, 2.008698E+00, 2.871487E+02, 0.000000E+00
2024-01-01 20:45:00,1, 2.722253E+02, 0.000000E+00, 1.914116E+00, 2.864154E+02, 0.000000E+00
2024-01-01 21:15:00,1, 2.719360E+02, 0.000000E+00, 1.828508E+00, 2.855756E+02, 0.000000E+00
2024-01-01 21:45:00,1, 2.716512E+02, 0.000000E+00, 1.739357E+00, 2.848061E+02, 0.000000E+00
2024-01-01 22:15:00,1, 2.714026E+02, 0.000000E+00, 1.633770E+00, 2.842245E+02, 0.000000E+00
2024-01-01 22:45:00,1, 2.711883E+02, 0.000000E+00, 1.550439E+00, 2.837253E+02, 0.000000E+00
2024-01-01 23:15:00,1, 2.710252E+02, 0.000000E+00, 1.506233E+00, 2.832984E+02, 0.000000E+00
2024-01-01 23:45:00,1, 2.709115E+02, 0.000000E+00, 1.477714E+00, 2.829388E+02, 0.000000E+00
2024-01-01 00:15:00,2, 2.734368E+02, 0.000000E+00, 2.267514E+00, 2.871453E+02, 0.000000E+00
2024-01-01 00:45:00,2, 2.737827E+02, 0.000000E+00, 4.399247E-01, 2.865242E+02, 0.000000E+00
2024-01-01 01:15:00,2, 2.738512E+02, 0.000000E+00, 9.231865E-01, 2.860427E+02, 0.000000E+00
2024-01-01 01:45:00,2, 2.737373E+02, 0.000000E+00, 9.532749E-01, 2.856287E+02, 0.000000E+00
2024-01-01 02:15:00,2, 2.736910E+02, 0.000000E+00, 7.928614E-01, 2.852845E+02, 0.000000E+00
2024-01-01 02:45:00,2, 2.736810E+02, 0.000000E+00, 7.273713E-01, 2.850400E+02, 0.000000E+00
2024-01-01 03:15:00,2, 2.736411E+02, 0.000000E+00, 7.647970E-01, 2.848164E+02, 0.000000E+00
